,date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),First dep NB or WB,First dep SB or EB,Last dep NB or WB,Last dep SB or EB,Route,Interruption,time period start,time period end
19,2023-02-02,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-02 09:00:00,2023-02-02 15:00:00
19,2023-02-02,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-02 15:00:00,2023-02-02 19:00:00
19,2023-02-02,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-02 19:00:00,2023-02-02 22:00:00
19,2023-02-02,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-02 22:00:00,2023-02-03 04:00:00
20,2023-02-03,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-03 04:00:00,2023-02-03 09:00:00
20,2023-02-03,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-03 09:00:00,2023-02-03 15:00:00
20,2023-02-03,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-03 15:00:00,2023-02-03 19:00:00
20,2023-02-03,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-03 19:00:00,2023-02-03 22:00:00
20,2023-02-03,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-02-03 22:00:00,2023-02-04 04:00:00
21,2023-02-04,12,10:00,106,14,18.4,0,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-04 04:00:00,2023-02-04 08:00:00
21,2023-02-04,16,09:30,138,14,14.2,1,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-04 08:00:00,2023-02-04 12:00:00
21,2023-02-04,20,08:30,156,14,12.5,2,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-04 12:00:00,2023-02-04 19:00:00
21,2023-02-04,15,10:00,134,16,14.6,3,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-04 19:00:00,2023-02-04 22:00:00
21,2023-02-04,14,10:00,130,10,15.0,4,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-02-04 22:00:00,2023-02-05 04:00:00
22,2023-02-05,11,10:00,102,8,19.2,0,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-02-05 04:00:00,2023-02-05 08:00:00
22,2023-02-05,14,10:00,130,10,15.0,1,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-02-05 08:00:00,2023-02-05 12:00:00
22,2023-02-05,18,09:00,148,14,13.2,2,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-02-05 12:00:00,2023-02-05 19:00:00
22,2023-02-05,14,09:30,122,11,16.0,3,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-02-05 19:00:00,2023-02-05 22:00:00
22,2023-02-05,13,09:30,114,9,17.1,4,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-02-05 22:00:00,2023-02-06 04:00:00
