date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
datetime64[us],int64,str,int64,int64,float64,int64,int64,float64,int64,datetime64[us],datetime64[us],str,int64,float64,int64
2025-04-08 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-08 15:00:00,2025-04-08 19:00:00,W,14,328.31666666666666,19
2025-04-09 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-09 15:00:00,2025-04-09 19:00:00,E,19,1452.15,120
2025-04-09 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-09 15:00:00,2025-04-09 19:00:00,W,22,540.6666666666666,32
2025-04-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-10 15:00:00,2025-04-10 19:00:00,E,51,5964.966666666666,104
2025-04-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-10 15:00:00,2025-04-10 19:00:00,W,11,1230.0666666666666,53
2025-04-11 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-11 15:00:00,2025-04-11 19:00:00,E,70,7329.583333333333,228
2025-04-11 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-11 15:00:00,2025-04-11 19:00:00,W,29,1540.3,47
2025-04-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-14 15:00:00,2025-04-14 19:00:00,E,50,966.6833333333334,105
2025-04-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-14 15:00:00,2025-04-14 19:00:00,W,7,213.48333333333332,24
2025-04-15 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-15 15:00:00,2025-04-15 19:00:00,E,50,2717.3166666666666,136
2025-04-15 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-15 15:00:00,2025-04-15 19:00:00,W,13,775.6,30
2025-04-16 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-16 15:00:00,2025-04-16 19:00:00,E,52,2955.516666666667,132
2025-04-16 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-16 15:00:00,2025-04-16 19:00:00,W,19,935.35,30
2025-04-17 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-17 15:00:00,2025-04-17 19:00:00,E,48,7584.55,189
2025-04-17 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-17 15:00:00,2025-04-17 19:00:00,W,30,2765.0333333333333,77
2025-04-18 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-18 15:00:00,2025-04-18 19:00:00,E,67,4798.25,142
2025-04-18 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-18 15:00:00,2025-04-18 19:00:00,W,27,770.1666666666666,51
2025-04-21 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-21 15:00:00,2025-04-21 19:00:00,E,50,1133.3166666666666,52
2025-04-21 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-21 15:00:00,2025-04-21 19:00:00,W,25,352.75,5
2025-04-22 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-22 15:00:00,2025-04-22 19:00:00,E,51,2569.0,133
2025-04-22 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-22 15:00:00,2025-04-22 19:00:00,W,11,1034.6833333333334,36
2025-04-23 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-23 15:00:00,2025-04-23 19:00:00,E,75,5618.35,182
2025-04-23 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-23 15:00:00,2025-04-23 19:00:00,W,21,1522.4833333333333,36
2025-04-24 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-24 15:00:00,2025-04-24 19:00:00,E,96,6754.933333333333,233
2025-04-24 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-24 15:00:00,2025-04-24 19:00:00,W,39,1709.3333333333333,53
2025-04-25 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-25 15:00:00,2025-04-25 19:00:00,E,20,1617.1333333333334,116
2025-04-25 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-25 15:00:00,2025-04-25 19:00:00,W,20,751.7166666666667,27
2025-04-28 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-28 15:00:00,2025-04-28 19:00:00,E,12,2513.2166666666667,155
2025-04-28 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-28 15:00:00,2025-04-28 19:00:00,W,22,619.1833333333334,29
2025-04-29 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-29 15:00:00,2025-04-29 19:00:00,E,41,4490.15,104
2025-04-29 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-29 15:00:00,2025-04-29 19:00:00,W,3,1254.3666666666668,31
2025-04-30 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-30 15:00:00,2025-04-30 19:00:00,E,103,10683.816666666668,203
2025-04-30 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-04-30 15:00:00,2025-04-30 19:00:00,W,8,2994.266666666667,49
