date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Howard Park Ave at Indian Rd,2,6,4,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Ossington Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Blackburn St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Havelock St,2,4,5,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Jarvis St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Howard Park Ave at Parkside Dr,3,6,4,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Broadview Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Crawford St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Dundas St West at Sterling Rd,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Beverley St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Coxwell Ave,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Parliament St,3,4,5,1
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Sherbourne St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,De Grassi St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Coxwell Ave at Gerrard St East,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Grace St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,McCaul St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Parliament St at Carlton St,3,3,5,1
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Queens Park (Queen's Park Station),2,3,5,1
